資訊時間,成交時間,商品代號,ITEM,成交價,成交量,總量,買單量,賣單量
8450009,8450009,TXFE7,128,9899,872,872,229,413
8450010,8450009,TXFE7,128,9898,1,878,234,415
8450011,8450010,TXFE7,128,9899,2,880,235,416
8450013,8450011,TXFE7,128,9899,2,882,236,417
8450013,8450011,TXFE7,128,9899,5,887,237,418
8450013,8450012,TXFE7,128,9899,2,889,238,419
8450015,8450013,TXFE7,128,9898,2,891,239,420
8450015,8450014,TXFE7,128,9899,10,901,240,421
8450017,8450015,TXFE7,128,9899,20,921,241,422
8450017,8450016,TXFE7,128,9898,2,923,243,423
8450019,8450017,TXFE7,128,9898,1,924,244,424
8450020,8450019,TXFE7,128,9899,2,926,245,426
8450020,8450019,TXFE7,128,9899,1,927,246,427
8450020,8450019,TXFE7,128,9899,2,929,247,429
8450020,8450019,TXFE7,128,9900,5,934,248,431
8450022,8450022,TXFE7,128,9898,1,935,249,432
8450034,8450022,TXFE7,128,9900,1,936,250,433
8450034,8450024,TXFE7,128,9900,4,940,251,436
8450034,8450025,TXFE7,128,9900,1,941,252,437
8450034,8450031,TXFE7,129,9898,23,966,266,438
8450034,8450031,TXFE7,129,9897,2,966,266,438
8450034,8450034,TXFE7,128,9900,9,975,267,445
8450047,8450034,TXFE7,128,9900,2,977,268,447
8450047,8450035,TXFE7,128,9900,1,978,269,448
8450047,8450037,TXFE7,128,9897,6,984,273,449
8450047,8450038,TXFE7,128,9897,9,993,277,450
8450047,8450042,TXFE7,128,9899,1,994,278,451
8450047,8450043,TXFE7,128,9900,4,998,279,455
8450047,8450045,TXFE7,128,9900,4,1002,280,458
8450059,8450047,TXFE7,128,9897,2,1004,281,459
8450059,8450047,TXFE7,128,9899,1,1005,282,460
8450059,8450047,TXFE7,128,9900,25,1030,283,465
8450059,8450048,TXFE7,128,9900,2,1032,284,466
8450059,8450053,TXFE7,128,9900,1,1033,285,467
8450059,8450056,TXFE7,129,9899,1,1043,286,472
8450059,8450056,TXFE7,129,9900,9,1043,286,472
8450059,8450056,TXFE7,128,9900,2,1045,287,473
8450059,8450057,TXFE7,128,9900,2,1047,288,475
8450059,8450058,TXFE7,128,9900,25,1072,289,483
8450059,8450058,TXFE7,128,9900,3,1075,290,484
8450059,8450058,TXFE7,128,9900,5,1080,291,485
8450072,8450060,TXFE7,128,9900,2,1082,292,486
8450072,8450062,TXFE7,128,9900,1,1083,293,487
8450072,8450063,TXFE7,128,9900,1,1084,294,488
8450072,8450065,TXFE7,128,9900,1,1085,295,489
8450072,8450065,TXFE7,129,9899,1,1087,297,490
8450072,8450065,TXFE7,129,9898,1,1087,297,490
8450072,8450068,TXFE7,128,9900,2,1089,298,491
8450084,8450072,TXFE7,128,9899,1,1090,299,492
8450084,8450072,TXFE7,128,9900,5,1095,300,493
8450084,8450075,TXFE7,128,9897,1,1096,301,494
8450084,8450076,TXFE7,128,9900,2,1098,302,495
8450084,8450077,TXFE7,128,9900,1,1099,303,496
8450084,8450078,TXFE7,128,9900,2,1101,304,498
8450084,8450080,TXFE7,128,9900,1,1102,305,499
8450084,8450083,TXFE7,128,9900,1,1103,306,500
8450084,8450083,TXFE7,128,9900,1,1104,307,501
8450097,8450084,TXFE7,128,9899,1,1105,308,502
8450097,8450086,TXFE7,128,9898,1,1106,309,503
8450097,8450091,TXFE7,128,9898,1,1107,310,504
8450097,8450092,TXFE7,128,9899,1,1108,311,505
8450097,8450094,TXFE7,129,9899,1,1148,312,516
8450097,8450094,TXFE7,129,9900,39,1148,312,516
